username,Month,SystemLoggedInTime,Email,Meetings,WorkingOnIssues,SystemInactiveTime,Offs,SkillPointEarned
HR1098,01-10-2020,16978,2020,3851,11107,8222,0,1600
HR1098,01-11-2020,10340,1678,1406,7256,14860,0,300
HR1098,01-12-2020,17465,144,1286,16035,7735,3,2000
HR1098,01-01-2021,16583,1757,4494,10332,8617,3,1300
HR1098,01-02-2021,10986,2005,5355,3626,14214,3,1300
HR1098,01-03-2021,14905,1664,3511,9730,10295,2,700
HR1098,01-04-2021,18252,1506,1325,15421,6948,2,1800
HR1098,01-05-2021,12703,2319,1806,8578,12497,1,1900
HR1098,01-06-2021,14526,1584,3887,9055,10674,0,1600
HR1098,01-07-2021,18423,1081,3495,13847,6777,2,900
HR1098,01-08-2021,5808,695,959,4154,19392,3,300
HR1098,01-09-2021,12640,1581,5163,5896,12560,0,0
HR1197,01-10-2020,10125,1602,4094,4429,15075,1,1500
HR1197,01-11-2020,10667,509,4424,5734,14533,0,200
HR1197,01-12-2020,17273,1947,3191,12135,7927,0,1800
HR1197,01-01-2021,20007,2257,4319,13431,5193,0,1600
HR1197,01-02-2021,12489,803,2643,9043,12711,0,900
HR1197,01-03-2021,14505,1472,3981,9052,10695,3,200
HR1197,01-04-2021,19900,330,4319,15251,5300,0,1800
HR1197,01-05-2021,17603,1878,2370,13355,7597,3,2000
HR1197,01-06-2021,16532,1562,1563,13407,8668,1,200
HR1197,01-07-2021,13025,2688,3946,6391,12175,0,1200
HR1197,01-08-2021,16152,2214,4664,9274,9048,2,1500
HR1197,01-09-2021,17818,2236,3992,11590,7382,3,1100
HR1635,01-10-2020,13451,1539,5193,6719,11749,1,1900
HR1635,01-11-2020,8356,593,3139,4624,16844,3,0
HR1635,01-12-2020,14618,1250,4784,8584,10582,2,100
HR1635,01-01-2021,16761,896,5227,10638,8439,2,1100
HR1635,01-02-2021,21185,674,4746,15765,4015,3,2000
HR1635,01-03-2021,9698,2365,2290,5043,15502,2,100
HR1635,01-04-2021,11737,1492,958,9287,13463,1,500
HR1635,01-05-2021,9081,2271,2376,4434,16119,0,1600
HR1635,01-06-2021,6384,559,976,4849,18816,1,700
HR1635,01-07-2021,8945,578,3347,5020,16255,3,1000
HR1635,01-08-2021,17171,1066,4858,11247,8029,0,700
HR1635,01-09-2021,12401,1608,1333,9460,12799,1,700
HR1663,01-10-2020,7921,700,2297,4924,17279,0,300
HR1663,01-11-2020,15657,1782,4617,9258,9543,2,1200
HR1663,01-12-2020,20145,88,4735,15322,5055,1,1100
HR1663,01-01-2021,15777,872,3585,11320,9423,3,1200
HR1663,01-02-2021,14310,110,1407,12793,10890,0,700
HR1663,01-03-2021,15439,1340,4754,9345,9761,2,1400
HR1663,01-04-2021,19450,2267,2237,14946,5750,0,0
HR1663,01-05-2021,10619,312,2293,8014,14581,0,1900
HR1663,01-06-2021,12061,1748,2895,7418,13139,0,700
HR1663,01-07-2021,10468,2134,1006,7328,14732,1,600
HR1663,01-08-2021,14032,2627,2020,9385,11168,0,300
HR1663,01-09-2021,16412,1082,2861,12469,8788,0,1500
HR1863,01-10-2020,17371,623,2445,14303,7829,1,400
HR1863,01-11-2020,15044,2469,2971,9604,10156,0,1300
HR1863,01-12-2020,9325,803,3319,5203,15875,0,300
HR1863,01-01-2021,17718,2305,4658,10755,7482,2,1900
HR1863,01-02-2021,13136,2215,4741,6180,12064,1,600
HR1863,01-03-2021,17282,59,2870,14353,7918,2,1900
HR1863,01-04-2021,11575,1595,3022,6958,13625,0,400
HR1863,01-05-2021,9298,1565,2214,5519,15902,2,0
HR1863,01-06-2021,14525,2009,3896,8620,10675,0,1700
HR1863,01-07-2021,15173,1284,1795,12094,10027,0,400
HR1863,01-08-2021,6110,1329,1052,3729,19090,1,0
HR1863,01-09-2021,20512,2044,4040,14428,4688,0,200
HR1878,01-10-2020,21515,1423,4412,15680,3685,3,300
HR1878,01-11-2020,10993,2339,3431,5223,14207,1,400
HR1878,01-12-2020,22948,1558,5352,16038,2252,1,1200
HR1878,01-01-2021,16487,2362,5046,9079,8713,2,1000
HR1878,01-02-2021,13531,1383,4042,8106,11669,1,1600
HR1878,01-03-2021,13250,242,3947,9061,11950,1,1100
HR1878,01-04-2021,8747,419,4255,4073,16453,2,600
HR1878,01-05-2021,17397,2122,3130,12145,7803,3,1700
HR1878,01-06-2021,14655,366,1160,13129,10545,2,2000
HR1878,01-07-2021,11329,230,3960,7139,13871,0,2000
HR1878,01-08-2021,18673,1558,2727,14388,6527,0,1300
HR1878,01-09-2021,15728,1211,1332,13185,9472,3,1800
HR1956,01-10-2020,12392,579,4732,7081,12808,2,1000
HR1956,01-11-2020,18161,71,2284,15806,7039,1,1700
HR1956,01-12-2020,11085,2165,3858,5062,14115,3,1100
HR1956,01-01-2021,16981,1952,4877,10152,8219,3,600
HR1956,01-02-2021,18885,1257,4454,13174,6315,3,1200
HR1956,01-03-2021,8778,1654,1575,5549,16422,1,700
HR1956,01-04-2021,16672,1084,1265,14323,8528,0,300
HR1956,01-05-2021,9609,86,1790,7733,15591,2,1900
HR1956,01-06-2021,15115,1318,4037,9760,10085,1,1500
HR1956,01-07-2021,10828,1494,3079,6255,14372,1,2000
HR1956,01-08-2021,17041,2004,1999,13038,8159,0,700
HR1956,01-09-2021,15382,1664,3753,9965,9818,0,1100
HR1980,01-10-2020,19432,65,3470,15897,5768,2,1900
HR1980,01-11-2020,9740,2291,1763,5686,15460,3,1100
HR1980,01-12-2020,21876,2042,3811,16023,3324,3,800
HR1980,01-01-2021,18395,1386,4437,12572,6805,0,1900
HR1980,01-02-2021,12834,783,1848,10203,12366,3,1600
HR1980,01-03-2021,14995,1122,4890,8983,10205,2,1600
HR1980,01-04-2021,16872,12,2215,14645,8328,0,1700
HR1980,01-05-2021,15958,1048,5236,9674,9242,3,800
HR1980,01-06-2021,9625,1161,3753,4711,15575,1,0
HR1980,01-07-2021,18680,1802,5105,11773,6520,0,500
HR1980,01-08-2021,15244,1500,1536,12208,9956,0,0
HR1980,01-09-2021,12739,1520,1012,10207,12461,3,800
HR2059,01-10-2020,10639,266,3741,6632,14561,0,1000
HR2059,01-11-2020,16928,2008,4428,10492,8272,2,300
HR2059,01-12-2020,19422,2423,1651,15348,5778,1,1300
HR2059,01-01-2021,13293,1345,3236,8712,11907,2,1800
HR2059,01-02-2021,15557,1486,984,13087,9643,0,1500
HR2059,01-03-2021,13336,494,3081,9761,11864,1,1600
HR2059,01-04-2021,17569,1817,1871,13881,7631,3,200
HR2059,01-05-2021,11274,1278,3088,6908,13926,0,500
HR2059,01-06-2021,9200,1186,3337,4677,16000,0,100
HR2059,01-07-2021,7994,1034,2910,4050,17206,3,1100
HR2059,01-08-2021,16458,681,2307,13470,8742,1,1700
HR2059,01-09-2021,10078,891,4576,4611,15122,1,800
HR2069,01-10-2020,19819,2261,2396,15162,5381,0,1200
HR2069,01-11-2020,17384,1612,977,14795,7816,0,200
HR2069,01-12-2020,16552,2424,3535,10593,8648,2,900
HR2069,01-01-2021,14007,1820,4534,7653,11193,0,1000
HR2069,01-02-2021,21483,2200,4706,14577,3717,3,800
HR2069,01-03-2021,14765,505,4776,9484,10435,2,1600
HR2069,01-04-2021,20704,2201,2694,15809,4496,3,1000
HR2069,01-05-2021,22620,1882,4723,16015,2580,0,1300
HR2069,01-06-2021,9379,2209,1991,5179,15821,3,1600
HR2069,01-07-2021,18471,322,3490,14659,6729,0,1800
HR2069,01-08-2021,9021,1499,2721,4801,16179,2,400
HR2069,01-09-2021,17608,2131,1969,13508,7592,2,1700
