username,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
test1,01-10-2021,20545.57893,14.46471153,12.41430704,6.008491663,16.55262232,6.274466899,7.071435418,0.080762331,180.3940221,473.237768,657.6885909,847.9269016,539.2129712
test1,02-10-2021,27700.45716,4.773538538,6.531877691,5.641367231,13.47008719,2.915829576,0.841157526,0.08122844,4.50884144,338.3501697,382.6820028,1205.495345,1256.185032
test1,03-10-2021,17494.53891,20.56063101,6.440098981,1.903595445,19.67794617,0.468708604,3.471538668,0.044610916,187.8851906,597.8913888,175.3111039,82.21227073,2849.506291
test1,04-10-2021,5412.672684,18.116009,5.804151289,0.082615045,17.7919769,3.090350786,2.006153697,0.055017315,77.77480895,608.4897383,16.82775068,321.3945771,2155.695991
test1,05-10-2021,23353.90675,22.66935611,16.31426784,1.749904565,12.51984686,4.213582266,1.162398569,0.036389406,53.05406841,458.5698603,494.9531054,508.9793522,3408.226148
test1,06-10-2021,23856.94117,25.4366601,4.612553629,1.969136596,15.66487901,5.125413803,0.88824248,0.039961934,40.24262979,228.2051059,514.8923246,205.4513704,3122.230747
test1,07-10-2021,5751.596597,18.81552798,3.587551559,3.973421012,10.04421803,5.717383824,11.62529139,0.050427741,173.9808366,128.2694117,319.7240072,1353.258526,657.8099066
test1,08-10-2021,26743.74477,10.29686583,24.61559871,1.731424039,0.890728203,2.452707869,9.760373417,0.043913574,104.2417008,194.2219125,713.5356265,1089.916069,3858.858146
test1,09-10-2021,24874.24074,8.908199797,20.87962457,1.580849384,20.89034612,6.386742996,11.55879627,0.034579291,38.04798833,195.5631396,321.7793539,599.9584379,2902.674815
test1,10-10-2021,15906.08138,13.13572271,15.39824216,3.033661011,15.97870656,2.590722464,6.331753107,0.039414614,62.09674033,148.6486237,308.8330686,805.3523323,2207.929361
HR1098,01-10-2021,26100.86715,11.63339373,20.53296728,5.22365305,21.84395374,4.864182146,5.88108386,0.065801709,107.8298146,411.9827273,540.8303828,571.4779881,1648.885195
HR1098,02-10-2021,23323.26279,7.781265278,19.83009372,2.568590415,15.02071215,4.891710304,4.732954904,0.033430202,115.7628854,565.018569,555.7649533,282.5102313,638.7206709
HR1098,03-10-2021,4820.285462,20.29264586,22.19481538,0.172363156,17.09125058,1.453154396,2.649240531,0.049111969,12.02606648,645.1478446,291.0726732,322.5095206,871.1830749
HR1098,04-10-2021,6469.310117,12.14834963,15.47562906,5.588951586,3.204140517,1.560711663,12.15432693,0.004879822,161.2665838,652.163518,588.6750917,493.6586131,3188.035177
HR1098,05-10-2021,16579.79714,0.207340319,24.18108294,3.938787013,18.7512585,1.380586473,7.622466232,0.062616119,183.321644,3.369529294,248.8228822,124.6555343,4055.969324
HR1098,06-10-2021,17265.72414,14.83605413,8.807508911,4.422437721,6.375578192,5.973929746,11.87723094,0.005325627,2.304242651,431.8348354,438.3417194,876.5815897,3816.620027
HR1098,07-10-2021,12638.71779,6.711980213,26.68106722,0.670051289,10.66164971,2.953489797,11.37315759,0.084752166,78.45213903,150.1739801,118.8763467,922.9509401,841.5082854
HR1098,08-10-2021,20555.98531,8.085882035,7.365307773,2.2488891,5.925932297,3.435021251,3.842339989,0.0960181,141.9881743,201.3467031,43.34821431,206.8441305,1945.667643
HR1098,09-10-2021,21739.98093,15.35047005,20.81259642,5.553011175,20.68189504,4.483962829,1.117215411,0.043223452,60.40922793,501.2602585,554.9242513,354.6062252,1558.612087
HR1098,10-10-2021,3821.077665,6.987190714,0.314304301,5.39402676,12.63410206,3.821539756,2.298643804,0.032999083,19.06058589,74.18636778,568.3632669,869.3219131,73.61828633
HR1197,01-10-2021,23211.95667,11.98271896,17.92595407,0.733726374,10.49923927,5.313766681,10.22930395,0.080925798,133.1072763,308.6037047,72.53185073,319.7112843,707.2542399
HR1197,02-10-2021,578.8455042,1.627471845,8.77879345,4.594084271,7.447770392,2.21868012,6.996074088,0.078393806,44.39807646,521.2993303,522.0627578,1081.612965,852.9102425
HR1197,03-10-2021,16643.6471,16.5048212,21.38162687,0.555508299,13.0630561,1.883047561,3.870334413,0.004660097,163.9914583,555.3829879,441.1455606,328.8368152,3456.976142
HR1197,04-10-2021,21075.75727,7.248839582,16.66801425,1.785144718,2.648261302,4.472032338,0.333761218,0.015042981,183.8195287,399.1010274,107.1383304,41.73315256,3798.440909
HR1197,05-10-2021,25091.01206,3.622421958,22.41923106,3.971569249,1.970977921,4.680694555,6.896720827,0.030676152,176.529589,186.232836,368.6540726,915.1758309,4365.978202
HR1197,06-10-2021,22390.75911,5.835805032,11.32012347,0.230083787,5.194267773,2.071338934,11.91134372,0.088639555,60.18455331,513.7459334,127.5195807,1293.602723,37.2195015
HR1197,07-10-2021,24926.17906,17.99935805,23.25183054,5.894484144,10.96880938,3.832815821,4.894945815,0.012020799,13.97362359,289.969477,382.2328235,803.2222711,636.6374549
HR1197,08-10-2021,26007.22148,9.458740139,5.559034462,2.589243706,19.12377057,2.03792408,4.963217291,0.090850191,183.3177468,289.520314,346.9690249,634.3455725,4030.486917
HR1197,09-10-2021,17680.17675,9.61653958,0.407552562,3.817591696,7.992101764,0.282596433,6.898714683,0.094787114,167.2461247,414.5363363,419.0375791,358.9361865,3276.921416
HR1197,10-10-2021,4903.810491,2.569834673,27.40709373,5.98268983,17.55569228,1.336016276,5.565314158,0.065450069,47.83149619,287.133409,151.9677253,840.1005697,3302.975613
HR1635,01-10-2021,395.4726478,26.67090189,23.19132728,4.845449608,16.77417035,6.116512104,1.769881431,0.037461826,188.0125706,219.0299265,210.4094558,651.4559054,1908.689712
HR1635,02-10-2021,15428.07461,20.92865649,21.80197357,5.02391574,1.574492034,3.278261648,9.043972048,0.003392794,132.6853473,362.8181102,299.389249,1401.531403,2931.255263
HR1635,03-10-2021,910.2241358,7.247943898,5.293000103,3.457199748,11.43363583,1.150203205,6.724966181,0.016428137,19.94347138,334.2686939,688.2977735,666.0090702,2395.462965
HR1635,04-10-2021,14754.65969,15.54811762,6.393064425,2.123868052,4.7440551,2.078693002,6.028827019,0.056582798,82.04377492,280.9480772,320.9354334,1408.132801,1260.393533
HR1635,05-10-2021,19598.9875,19.77507152,6.268740772,6.644553154,3.679396422,2.262617171,1.802724125,0.089789314,90.3553458,575.2136673,365.8797212,739.6456611,2043.864808
HR1635,06-10-2021,6465.329535,12.75351501,2.848002402,5.70214068,15.77998907,5.018800053,7.47363686,0.021213347,0.928546208,454.7903496,478.8857512,176.4167632,3762.284392
HR1635,07-10-2021,16550.72953,4.775914634,3.14613005,0.028562969,12.7030183,0.517041493,9.496747413,0.024249746,98.3021244,537.0897816,103.9038066,460.0207751,3414.268228
HR1635,08-10-2021,15880.04223,27.06818083,1.435938217,5.001411949,15.79974216,1.74120405,5.905079702,0.082023322,197.1942258,0.411632091,716.080236,1071.453392,2273.914396
HR1635,09-10-2021,17733.50257,20.19469647,23.06219572,5.118095099,14.97828779,1.304269085,11.74596043,0.072789838,0.220488513,15.86819994,367.632547,412.9398814,3499.825221
HR1635,10-10-2021,7624.914482,21.00848234,5.969727797,3.393802068,12.46229381,4.596983927,2.115606887,0.066113057,118.0808166,570.4978485,535.5962945,941.6231286,2824.666683
HR1663,01-10-2021,13005.92286,20.01356719,2.573564589,3.276132476,5.284890068,1.01709017,4.661753073,0.050315942,31.13062402,138.9302739,71.40993738,654.4681628,2696.515817
HR1663,02-10-2021,16349.30529,11.46285311,15.009975,1.065948314,5.795822079,1.797958693,9.818215312,0.052528245,197.7512648,385.408752,349.4798994,568.3286702,569.7127711
HR1663,03-10-2021,6006.263979,1.238532011,2.114652982,5.065945102,10.10737048,4.015038242,8.05142752,0.041508626,175.928886,138.2681164,74.72822405,949.1676221,2430.351234
